Method_Name,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV
add_values,1,1,1,1,1,1
array_calc,1,1,0,0,0,1
array_copy,1,1,0,0,0,1
autoCorrelation,0,0,0,0,0,0
average,1,1,1,0,0,1
bi_SearchFromTo,0,0,0,1,0,0
bubble,1,1,1,0,0,1
cal_AbsoluteDiff,1,1,0,0,0,1
lag,0,1,0,0,0,0
manhattanDist,0,1,0,1,1,1
manhattanDist2,0,1,0,1,1,1
max,1,1,1,1,1,1
meanDeviation,1,0,1,0,0,0
mean_Diff,0,0,0,0,0,0
mean_abs_error,0,1,0,0,0,1
min,1,1,1,0,0,1
partition,0,0,0,0,0,0
polevl,1,1,0,1,1,1
pooledMean,1,1,1,0,0,1
pooledVariance,1,1,1,0,0,1
power,0,1,0,0,0,1
product,1,1,1,1,1,1
quantile,1,1,0,0,1,1
reverse,1,1,0,0,0,1
safeNorm,1,1,1,1,1,1
sampleKurtosis,1,0,1,0,0,1
sampleSkew,1,0,1,0,0,0
sampleVariance,1,1,1,0,0,1
sampleWeightedVar,0,0,0,0,0,1
scale,1,1,0,0,0,1
s_add,1,0,0,1,1,0
selection_sort,1,1,1,0,0,1
sequential_search,0,0,0,1,1,0
set_min_val,1,1,0,0,0,1
shell_sort,1,1,1,0,0,1
skew,1,1,1,0,0,0
square,1,1,0,0,0,1
standardize,1,1,0,0,0,0
sum,1,1,1,1,1,1
sumOfLogarithms,1,1,1,1,1,1
sum_Power_Deviat,0,0,0,0,0,0
sum_labeled,0,0,0,0,0,0
tanimotoDist,0,0,0,0,0,0
variance,1,1,1,0,0,1
var_Difference,1,1,0,0,0,1
weightedMean,1,1,0,0,0,1
weightedRMS,0,0,0,0,0,0
weighted_average,1,1,0,0,0,1
winsorizedMean,1,1,0,0,1,1
